Type,Organization,Street Address,City,County,State,ZIP,Phone,Birds Accepted,Latitude,Longitude,Location Precision,License Status,Source
Organization,New England Wildlife Center,500 Columbian Street,South Weymouth,Norfolk,MA,02190,781-682-4878,all birds,42.16784,-70.95074,street address (ZIP-level coordinate),"Official MassWildlife licensed rehabilitator list (ArcGIS All_Rehabbers layer, linked from mass.gov) (general wildlife rehabilitator/center)",https://services.arcgis.com/QVENGdaPbd4LUkLV/ArcGIS/rest/services/All_Rehabbers_2024_1010/FeatureServer/0/query (MassWildlife official rehabber layer; linked from https://www.mass.gov/info-details/find-a-wildlife-rehabilitator)
Organization,Second Chance Wildlife Center,26400 Haines Road,Clarksburg,Montgomery,MD,20871,301-926-9453,all birds,39.20777,-77.25982,street address (ZIP-level coordinate),Confirmed licensed under permits from Maryland DNR and U.S. Fish & Wildlife Service (per scwc.org); also MWRA-listed,https://www.mwrawildlife.net/who-we-are-1-1 (MWRA association directory; official MD DNR database host was blocked by egress policy)
Organization,Opossum Pike Veterinary Clinic,1550 Opossumtown Pike,Frederick,Frederick,MD,21702,301-662-2322,all birds,39.4926,-77.46121,street address (ZIP-level coordinate),Veterinary clinic accepting wildlife; listed as MWRA rehabilitation contact,https://www.mwrawildlife.net/who-we-are-1-1 (MWRA association directory; official MD DNR database host was blocked by egress policy)
Individual,Lee Prouty,,Rockville,Montgomery,MD,,301-460-7468,waterfowl,39.0838,-77.153,city,Listed as Maryland waterfowl rehabilitator in MWRA referral directory (individual permit not independently verified),https://www.mwrawildlife.net/who-we-are-1-1 (MWRA association directory; official MD DNR database host was blocked by egress policy)
Organization,Frisky's Wildlife & Primate Sanctuary,10790 Old Frederick Road,Woodstock,Howard,MD,21163,410-418-8899,all birds,39.34983,-76.84559,street address (ZIP-level coordinate),Established Maryland licensed wildlife sanctuary/rehabber (friskys.org); also MWRA-listed,https://www.mwrawildlife.net/who-we-are-1-1 (MWRA association directory; official MD DNR database host was blocked by egress policy)
Individual,Martha (Kappy) Sprenger,"253 Highland Road, Fire Lane 137",Bridgton,Cumberland,ME,,207-647-5593,all birds,44.05205,-70.72408,street address (city-level coordinate),Official Maine list of licensed wildlife rehabilitators (Maine IFW; mainevetmed.org PDF),https://www.mainevetmed.org/assets/List%20of%20Licensed%20ME%20Wildlife%20Rehabilitators.pdf
Organization,The Center for Wildlife,385 Mountain Road,Cape Neddick,York,ME,03902,207-361-1400,all birds,43.24578,-70.66472,street address (ZIP-level coordinate),Official Maine list of licensed wildlife rehabilitators (Maine IFW; mainevetmed.org PDF),https://www.mainevetmed.org/assets/List%20of%20Licensed%20ME%20Wildlife%20Rehabilitators.pdf
Individual,Evelyn Jordan,149 Pea Ridge Road,Chester,Penobscot,ME,04457,207-794-6178,all birds,45.36679,-68.49299,street address (ZIP-level coordinate),Official Maine list of licensed wildlife rehabilitators (Maine IFW; mainevetmed.org PDF),https://www.mainevetmed.org/assets/List%20of%20Licensed%20ME%20Wildlife%20Rehabilitators.pdf
Individual,Stanley Richmond,Bar Harbor Road,Ellsworth,Hancock,ME,04605,207-667-3595,all birds,44.47794,-68.35631,street address (ZIP-level coordinate),Official Maine list of licensed wildlife rehabilitators (Maine IFW; mainevetmed.org PDF),https://www.mainevetmed.org/assets/List%20of%20Licensed%20ME%20Wildlife%20Rehabilitators.pdf
Organization,Avian Haven,418 N. Palermo Road,Freedom,Waldo,ME,04941,207-382-6761,all birds,44.48858,-69.33922,street address (ZIP-level coordinate),Official Maine list of licensed wildlife rehabilitators (Maine IFW; mainevetmed.org PDF),https://www.mainevetmed.org/assets/List%20of%20Licensed%20ME%20Wildlife%20Rehabilitators.pdf
Individual,Beth Settlemyer,13 Rawstron Drive,Friendship,Knox,ME,04547,207-832-5044,shorebirds/seabirds,44.01042,-69.23118,street address (ZIP-level coordinate),Official Maine list of licensed wildlife rehabilitators (Maine IFW; mainevetmed.org PDF),https://www.mainevetmed.org/assets/List%20of%20Licensed%20ME%20Wildlife%20Rehabilitators.pdf
Individual,Ann Rivers,Kitteridge Brook Road,Mount Desert,Hancock,ME,04660,207-288-4960,all birds,44.33469,-68.30874,street address (ZIP-level coordinate),Official Maine list of licensed wildlife rehabilitators (Maine IFW; mainevetmed.org PDF),https://www.mainevetmed.org/assets/List%20of%20Licensed%20ME%20Wildlife%20Rehabilitators.pdf
Individual,Heather Grierson,,Mount Desert,Hancock,ME,04660,207-667-3244,all birds,44.33469,-68.30874,ZIP centroid,Official Maine list of licensed wildlife rehabilitators (Maine IFW; mainevetmed.org PDF),https://www.mainevetmed.org/assets/List%20of%20Licensed%20ME%20Wildlife%20Rehabilitators.pdf
Organization,Duck Pond Wildlife Care Center,1787 North Belfast Ave,Vassalboro,Kennebec,ME,04989,207-445-4326,all birds,44.42776,-69.63591,street address (ZIP-level coordinate),Official Maine list of licensed wildlife rehabilitators (Maine IFW; mainevetmed.org PDF),https://www.mainevetmed.org/assets/List%20of%20Licensed%20ME%20Wildlife%20Rehabilitators.pdf
Individual,David & Joshua Sparks,46 Rousseau Road,Windham,Cumberland,ME,04062,207-892-8905,all birds,43.91138,-70.39665,street address (ZIP-level coordinate),Official Maine list of licensed wildlife rehabilitators (Maine IFW; mainevetmed.org PDF),https://www.mainevetmed.org/assets/List%20of%20Licensed%20ME%20Wildlife%20Rehabilitators.pdf
Individual,William Portela,36 Greeley Road,Windsor,Kennebec,ME,04363,207-549-3495,all birds,44.41406,-69.75191,street address (ZIP-level coordinate),Official Maine list of licensed wildlife rehabilitators (Maine IFW; mainevetmed.org PDF),https://www.mainevetmed.org/assets/List%20of%20Licensed%20ME%20Wildlife%20Rehabilitators.pdf
Individual,Carolyn Tropp,,,Ingham,MI,,517-927-7578,waterfowl,42.62041,-84.39543,county,On Michigan DNR directory of licensed wildlife rehabilitators — official state agency source,https://www.michigan.gov/dnr/managing-resources/wildlife/wildlife-permits/wildlife-rehabilitation-permit-information/directory-of-licensed-wildlife-rehabilitators
Individual,David Hogan,,,Monroe,MI,,734-755-3952,raptors,41.90559,-83.52899,county,On Michigan DNR directory of licensed wildlife rehabilitators — official state agency source,https://www.michigan.gov/dnr/managing-resources/wildlife/wildlife-permits/wildlife-rehabilitation-permit-information/directory-of-licensed-wildlife-rehabilitators
Individual,Jyl Gaskin,,,Grand Traverse,MI,,231-267-5722,non-migratory birds,44.72201,-85.57607,county,On Michigan DNR directory of licensed wildlife rehabilitators — official state agency source,https://www.michigan.gov/dnr/managing-resources/wildlife/wildlife-permits/wildlife-rehabilitation-permit-information/directory-of-licensed-wildlife-rehabilitators
Individual,Lillian Mahaney,,,Leelanau,MI,,231-256-8844,non-migratory birds,44.94585,-85.81432,county,On Michigan DNR directory of licensed wildlife rehabilitators — official state agency source,https://www.michigan.gov/dnr/managing-resources/wildlife/wildlife-permits/wildlife-rehabilitation-permit-information/directory-of-licensed-wildlife-rehabilitators
Individual,Lois Bonno,,,Iron,MI,,906-367-4739,non-migratory birds,46.09582,-88.52526,county,On Michigan DNR directory of licensed wildlife rehabilitators — official state agency source,https://www.michigan.gov/dnr/managing-resources/wildlife/wildlife-permits/wildlife-rehabilitation-permit-information/directory-of-licensed-wildlife-rehabilitators
Individual,Tanya Procknow,,,Emmet,MI,,231-203-1132,all birds,45.52484,-84.88362,county,On Michigan DNR directory of licensed wildlife rehabilitators — official state agency source,https://www.michigan.gov/dnr/managing-resources/wildlife/wildlife-permits/wildlife-rehabilitation-permit-information/directory-of-licensed-wildlife-rehabilitators
Organization,Wildside Rehabilitation and Education Center,8601 Houston Road,Eaton Rapids,Eaton,MI,48827,517-663-6153,all birds,42.59025,-84.79701,street address (ZIP-level coordinate),On Michigan DNR directory of licensed wildlife rehabilitators — official state agency source,https://www.michigan.gov/dnr/managing-resources/wildlife/wildlife-permits/wildlife-rehabilitation-permit-information/directory-of-licensed-wildlife-rehabilitators
Organization,Detroit Animal Welfare Group (DAWG),78440 McKay Road,Romeo,Macomb,MI,48065,586-354-8500,non-migratory birds,42.83995,-83.03884,street address (ZIP-level coordinate),On Michigan DNR directory of licensed wildlife rehabilitators — official state agency source,https://www.michigan.gov/dnr/managing-resources/wildlife/wildlife-permits/wildlife-rehabilitation-permit-information/directory-of-licensed-wildlife-rehabilitators
Organization,Bird Center of Michigan,7800 Platt Road,Saline,Washtenaw,MI,48176,734-761-9640,all birds,42.14764,-83.80237,street address (ZIP-level coordinate),On Michigan DNR directory of licensed wildlife rehabilitators — official state agency source,https://www.michigan.gov/dnr/managing-resources/wildlife/wildlife-permits/wildlife-rehabilitation-permit-information/directory-of-licensed-wildlife-rehabilitators
Individual,Sharron Butler,,Vicksburg,Kalamazoo,MI,,269-649-2028,raptors,42.1209,-85.50238,city,On Michigan DNR directory of licensed wildlife rehabilitators — official state agency source,https://www.michigan.gov/dnr/managing-resources/wildlife/wildlife-permits/wildlife-rehabilitation-permit-information/directory-of-licensed-wildlife-rehabilitators
Individual,Heather Griffith,,Babbitt,Saint Louis,MN,,218-235-3496,all birds,47.70912,-91.95695,city,Official MN DNR Permitted Wildlife Rehabilitators list,https://files.dnr.state.mn.us/eco/nongame/rehabilitation/wildlife_rehabilitators.pdf
Organization,Wildwoods,4009 W Arrowhead Road,Duluth,Saint Louis,MN,55811,218-491-3604,all birds,46.81471,-92.19983,street address (ZIP-level coordinate),Official MN DNR Permitted Wildlife Rehabilitators list,https://files.dnr.state.mn.us/eco/nongame/rehabilitation/wildlife_rehabilitators.pdf
Organization,Wild and Free,27264 MN-18,Garrison,Crow Wing,MN,56450,320-692-5417,all birds,46.31296,-93.86602,street address (ZIP-level coordinate),Official MN DNR Permitted Wildlife Rehabilitators list,https://files.dnr.state.mn.us/eco/nongame/rehabilitation/wildlife_rehabilitators.pdf
Individual,Gail Buhl,,Roseville,Ramsey,MN,,651-646-8200,all birds,44.96996,-93.08317,county,Official MN DNR Permitted Wildlife Rehabilitators list,https://files.dnr.state.mn.us/eco/nongame/rehabilitation/wildlife_rehabilitators.pdf
Organization,The Wildlife Rehabilitation Center of Minnesota (WRC),2530 Dale Street North,Roseville,Ramsey,MN,55113,651-486-9453,all birds,45.01389,-93.15707,street address (ZIP-level coordinate),Official MN DNR Permitted Wildlife Rehabilitators list,https://files.dnr.state.mn.us/eco/nongame/rehabilitation/wildlife_rehabilitators.pdf
Organization,The Raptor Center (University of Minnesota),1920 Fitch Avenue,St. Paul,Ramsey,MN,55108,612-624-4745,raptors,44.98061,-93.17712,street address (ZIP-level coordinate),Official MN DNR Permitted Wildlife Rehabilitators list,https://files.dnr.state.mn.us/eco/nongame/rehabilitation/wildlife_rehabilitators.pdf
Individual,Polly Rixe,,Stacy,Anoka,MN,,612-325-6220,all birds,45.39806,-92.98722,city,Official MN DNR Permitted Wildlife Rehabilitators list,https://files.dnr.state.mn.us/eco/nongame/rehabilitation/wildlife_rehabilitators.pdf
Individual,Beth Siverhus,,Warroad,Roseau,MN,,218-242-1037,all birds,48.91114,-95.35384,city,Official MN DNR Permitted Wildlife Rehabilitators list,https://files.dnr.state.mn.us/eco/nongame/rehabilitation/wildlife_rehabilitators.pdf
Organization,Wildlife Rescue Center (Missouri Wildlife Rehabilitation),1128 New Ballwin Rd,Ballwin,St. Louis,MO,63021,636-394-1880,all birds,38.56665,-90.53565,street address (ZIP-level coordinate),"Kept — established Missouri wildlife rehabilitation nonprofit, MDC/USFWS permitted (mowildlife.org).",https://www.wildlife411.org/state ; https://www.mowildlife.org/
Organization,Wild Bird Rehabilitation,9624 Midland Blvd,Overland,St. Louis,MO,63114,314-426-6400,songbirds,38.7023,-90.36437,street address (ZIP-level coordinate),Kept — licensed songbird rehabilitator holding state and federal permits (wildbirdrehab.org).,https://www.wildlife411.org/state
Organization,World Bird Sanctuary,125 Bald Eagle Ridge Road,Valley Park,St. Louis,MO,63088,636-225-4390,raptors,38.5532,-90.4889,street address (ZIP-level coordinate),Kept — established nonprofit operating a licensed raptor rehabilitation hospital (worldbirdsanctuary.org).,https://www.wildlife411.org/state
Organization,"Mississippi Wildlife Rehabilitation, Inc.",3905 Arkabutla Dam Rd,Coldwater,Tate,MS,38618,(662) 292-6133,all birds,34.69018,-89.96251,street address (ZIP-level coordinate),"Confirmed: 'State and Federally licensed by the MS Dept. of Wildlife, Fisheries and Parks (MDWFP) and the United States Fish and Wildlife Service (USFWS).' Currently operating 501(c)(3).",https://www.mississippilandcan.org/local-resources/Mississippi-Wildlife-Rehabilitation-Inc/17059
Organization,"Wildlife Care and Rescue Center, Inc.",4400 Audubon Ln,Gautier,Jackson,MS,39553,(228) 669-2737,all birds,30.42168,-88.66487,street address (ZIP-level coordinate),"Confirmed: org states 'Volunteers work together under state and federal permits.' Also listed with Federal 'Unlimited' license in Shoofly Magazine's South MS rehabber roundup. Currently operating (open 7 days/week), 501(c)(3) founded 1994.",https://wildlifecareandrescuecenter.org/aboutus.aspx
Organization,Gulf Coast Wildlife Rehab,5500 Richmond Street,Ocean Springs,Jackson,MS,39564,(228) 238-5505,all birds,30.50028,-88.65502,street address (ZIP-level coordinate),Confirmed via Shoofly Magazine South MS rehabber roundup: holds a Federal 'Unlimited' (USFWS migratory bird rehabilitation) license and accepts birds. Currently operating; also listed on rescueshelter.com Mississippi directory.,https://www.bslshoofly.com/wildlife-rescue-in-south-mississippi.html
Organization,"Wild at Heart Rescue, Inc.",16020 Larue Rd,Vancleave,Jackson,MS,39565,(228) 669-7907,all birds,30.54736,-88.70858,street address (ZIP-level coordinate),Confirmed operating 501(c)(3) that rehabilitates raptors and migratory birds. Raptor/migratory-bird rehabilitation in MS legally requires both a state MDWFP rehabilitation permit and a federal USFWS Migratory Bird Rehabilitation Permit; org's dedicated raptor flight enclosure and pelican/raptor casework evidence these permits. Bird acceptance confirmed via Gulf Coast Woman Magazine profile and Shoofly Magazine directory.,https://www.wildatheartrescuems.org/about
Organization,Montana Raptor Conservation Center,3600 Springhill Road,Bozeman,Gallatin,MT,59718,406-585-1211,raptors,45.66812,-111.24039,street address (ZIP-level coordinate),State/federally permitted raptor rehabilitation center; referenced on Montana FWP injured-wildlife page,https://fwp.mt.gov/conservation/living-with-wildlife/injured-orphaned-wildlife
Organization,"Montana Fish, Wildlife & Parks - Montana WILD",2668 Broadwater Ave,Helena,Lewis and Clark,MT,59601,406-444-9942,all birds,46.70934,-112.19762,street address (ZIP-level coordinate),"State-operated rehabilitation center run by Montana Fish, Wildlife & Parks (Montana WILD)",https://fwp.mt.gov/conservation/living-with-wildlife/injured-orphaned-wildlife
Organization,Montana Wild Wings Recovery Center,37 Panoramic Drive,Kalispell,Flathead,MT,59901,406-250-1070,raptors,48.20276,-114.30392,street address (ZIP-level coordinate),State and federal permit holder (per wildwingsrecovery.org); referenced on Montana FWP injured-wildlife page,https://fwp.mt.gov/conservation/living-with-wildlife/injured-orphaned-wildlife
Individual,Halley Buckanoff,"4401 Zoo Parkway, Asheboro, NC 27205",Asheboro,,NC,27205,(336) 879-7644,all birds,35.63826,-79.85087,street address (ZIP-level coordinate),keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Susan Wright,"33 Possum Trot Rd, Asheville, NC 28806",Asheville,,NC,28806,(828) 665-4341,raptors,35.57036,-82.60591,street address (ZIP-level coordinate),keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Marti Brinson,,Ayden,,NC,,(252) 531-7972,all birds,35.45647,-77.40513,city,keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Nina Fischesser,"367 Mill Pond Road, Banner Elk, NC 28604",Banner Elk,,NC,28604,(828) 898-2568,all birds,36.07202,-81.91014,street address (ZIP-level coordinate),keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Savannah Trantham,,Candler,,NC,,(828) 633-6364,all birds,35.53763,-82.70008,city,keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Kindra Mammone,,Chapel Hill,,NC,,(919) 619-0776,all birds,35.92032,-79.03719,city,keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Amy Salim,,Charlotte,,NC,,(800) 388-2972,all birds,35.2269,-80.8433,city,keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Steven Stone,"4501 New Bern Avenue #130-333, Raleigh, NC 27610",Clayton,,NC,27610,(919) 862-7637,raptors,35.7429,-78.56444,street address (ZIP-level coordinate),keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Robert Kellam,,Concord,,NC,,(800) 388-2972,all birds,35.37161,-80.53003,city,keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Leonard Browning,"53282 NC Highway 12, Frisco, NC 27936",Frisco,,NC,27936,(252) 475-4217,raptors,35.23385,-75.61449,street address (ZIP-level coordinate),keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,William Mest,,Frisco,,NC,,(610) 952-3228,"raptors, waterfowl",35.235,-75.62889,city,keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Toni O'Neil,"119 Doe Dr, Hubert, NC 28539",Hubert,,NC,28539,(910) 326-6432,all birds,34.70954,-77.22293,street address (ZIP-level coordinate),keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Gabor Zsuppan,"6000 Sample Rd, Huntersville, NC 28078",Huntersville,,NC,28078,(704) 875-6521,raptors,35.40107,-80.86946,street address (ZIP-level coordinate),keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Jennifer Gordon,"5403 Poplin Road, Indian Trail, NC 28079",Indian Trail,,NC,28079,(704) 286-6330,all birds,35.11564,-80.59788,street address (ZIP-level coordinate),keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Kaitlan Hester,"106 Conley Hills Dr, Richlands, NC 28574",Jacksonville,,NC,28574,(828) 238-5850,"raptors, songbirds",34.86005,-77.58121,street address (ZIP-level coordinate),keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Rebekah Kriston,,Lumberton,,NC,,(910) 225-0732,raptors,34.6293,-79.00831,city,keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Carlton Burke,,Mills River,,NC,,(828) 891-5169,raptors,35.3711,-82.5884,city,keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Christi Davis,,Newport,,NC,,(843) 505-0828,all birds,34.75508,-76.90694,city,keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Cathy Burns,,Richlands,,NC,,(910) 650-9978,all birds,34.86243,-77.5863,city,keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Tonya Weil,"106 Conley Hills Dr, Richlands, NC 28574",Richlands,,NC,28574,(704) 616-5756,all birds,34.86005,-77.58121,street address (ZIP-level coordinate),keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Velvet Kitzmiller,,Sandy Ridge,,NC,,(336) 871-9233,"raptors, songbirds",36.48997,-80.08586,city,keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Kimberly Wortham,,Sanford,,NC,,(919) 499-7776,all birds,35.46415,-79.17645,city,keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,William Wortham,,Sanford,,NC,,(919) 499-7776,all birds,35.46415,-79.17645,city,keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Sarah Kesler,,Shiloh,,NC,,(757) 737-3420,"songbirds, waterfowl",36.25845,-76.04317,city,keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Mary Rogers,"4260 Long Beach Road, Southport, NC 28461",Southport,,NC,28461,(910) 294-2555,all birds,33.96629,-78.23813,street address (ZIP-level coordinate),keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Evangeline Lamore,,Tryon,,NC,,(828) 863-4248,songbirds,35.2157,-82.23942,city,keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Kristye Steed,,Warrenton,,NC,,(252) 204-0081,all birds,36.35394,-78.15939,city,keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Keenan Freitas,,Waxhaw,,NC,,(800) 388-2972,all birds,34.95533,-80.7279,city,keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Individual,Jennifer Leonard,"144 Northbrook Dr, Wilmington, NC 28412",Wilmington,,NC,28412,(910) 612-9127,all birds,34.12746,-77.91859,street address (ZIP-level coordinate),keep - listed on NC Wildlife Resources Commission licensed wildlife rehabilitator map (official state agency source),https://experience.arcgis.com/experience/73bc3bdec5c5477bb783baa398f8eaeb
Organization,Dakota Zoo - Raptor Rehabilitation,602 Riverside Park Road,Bismarck,Burleigh,ND,58504,701-223-7543,raptors,46.82994,-100.45598,street address (ZIP-level coordinate),AZA-accredited zoo operating a permitted raptor rehabilitation program (USFWS/state permits). ND has no official public rehabber list.,https://www.dakotazoo.org/education/raptor-rehabilitation/
Organization,Roosevelt Park Zoo,1219 Burdick Expressway E,Minot,Ward,ND,58701,701-857-4166,all birds,48.08463,-101.41901,street address (ZIP-level coordinate),First state-certified wildlife rehabilitator in North Dakota (per KXNET reporting); permitted via USFWS/state. ND has no official public rehabber list.,https://www.kxnet.com/news/top-stories/minot-veterinarian-becomes-first-certified-wildlife-rehabilitator-in-the-state/
Organization,Fontenelle Forest - Raptor Recovery,1111 Bellevue Blvd N,Bellevue,Sarpy,NE,68005,402-731-3140,raptors,41.13295,-95.90396,street address (ZIP-level coordinate),keep - Nebraska has no official public list; established Fontenelle Forest raptor program (Nebraska Game & Parks/USFWS permitted),https://fontenelleforest.org/raptors-2022/injured-raptor/
Organization,Raptor Conservation Alliance (formerly Raptor Recovery Nebraska),PO Box 223,Eagle,Cass,NE,68347,866-888-7261,raptors,40.89994,-96.37889,street address (ZIP-level coordinate),keep - Nebraska has no official public list; verified licensed by Nebraska Game and Parks Commission and USFWS (per rcabirds.org),https://rcabirds.org/contact/
Organization,"Nebraska Wildlife Rehab, Inc. (NWRI)",9777 M Street,Omaha,Douglas,NE,68127,402-234-2473,all birds,41.20741,-96.06115,street address (ZIP-level coordinate),keep - Nebraska has no official public rehabber list; verified Nebraska Game & Parks/USFWS-permitted rehab organization that the state directs the public to,https://outdoornebraska.gov/permits/other-permits/captive-wildlife-permits/
Individual,Jane Kelly,,Epping,Rockingham,NH,,603-686-2129,"raptors, corvids",43.04105,-71.07637,city,Licensed — on New Hampshire official permitted-rehabilitator list (NH Fish & Game),https://wildlife.state.nh.us/wildlife/rehabilitators.html
Individual,Ciera Louise-Hartford,,Keene,Cheshire,NH,,603-352-3266,all birds,42.94313,-72.28954,city,Licensed — on New Hampshire official permitted-rehabilitator list (NH Fish & Game),https://wildlife.state.nh.us/wildlife/rehabilitators.html
Organization,"Tri-State Bird Rescue and Research, Inc.",110 Possum Hollow Rd,Newark,New Castle,NH,19711,302-737-9543,all birds,39.66828,-75.68849,street address (ZIP-level coordinate),"Licensed — holds statewide NH oiled-wildlife permit (on NH Fish & Game list); facility physically in Newark, DE",https://wildlife.state.nh.us/wildlife/rehabilitators.html
Individual,Susan Deane Johnson,,Sunapee,Sullivan,NH,,603-863-8940,all birds,43.38682,-72.09504,city,Licensed — on New Hampshire official permitted-rehabilitator list (NH Fish & Game),https://wildlife.state.nh.us/wildlife/rehabilitators.html
Organization,Wendell Veterinary Clinic,131 Route 103,Sunapee,Sullivan,NH,03782,603-863-3631,all birds,43.42684,-72.15471,street address (ZIP-level coordinate),Licensed — on New Hampshire official permitted-rehabilitator list (NH Fish & Game); veterinary clinic (relay point),https://wildlife.state.nh.us/wildlife/rehabilitators.html
Individual,Debra Gode,"109 Watson Rd, Winchester, NH 03470",Winchester,Cheshire,NH,03470,603-239-7338,all birds,42.8958,-72.27493,street address (ZIP-level coordinate),Licensed — on New Hampshire official permitted-rehabilitator list (NH Fish & Game),https://wildlife.state.nh.us/wildlife/rehabilitators.html
Individual,Dr. Carol Macomber,"19 Roulston Rd, Windham, NH 03087",Windham,Rockingham,NH,03087,978-375-4879,all birds,42.89221,-71.23401,street address (ZIP-level coordinate),Licensed — on New Hampshire official permitted-rehabilitator list (NH Fish & Game),https://wildlife.state.nh.us/wildlife/rehabilitators.html
Organization,Woodford Cedar Run Wildlife Refuge,4 Sawmill Rd,Medford,Burlington,NJ,08055,856-983-3329,all birds,39.87455,-74.76208,street address (ZIP-level coordinate),kept: on official NJ DEP Fish & Wildlife licensed wildlife rehabilitator list,https://www.northbrunswickhumane.org/wp-content/uploads/2015/08/rehab_list.pdf
Organization,The Raptor Trust,1390 White Bridge Rd,Millington,Morris,NJ,07946,908-647-2353,all birds,40.6787,-74.5054,street address (ZIP-level coordinate),kept: on official NJ DEP Fish & Wildlife licensed wildlife rehabilitator list,https://www.northbrunswickhumane.org/wp-content/uploads/2015/08/rehab_list.pdf
Organization,Mercer County Wildlife Center,1748 River Rd,Titusville,Mercer,NJ,08560,609-303-0552,all birds,40.31183,-74.86386,street address (ZIP-level coordinate),kept: on official NJ DEP Fish & Wildlife licensed wildlife rehabilitator list,https://www.northbrunswickhumane.org/wp-content/uploads/2015/08/rehab_list.pdf
